NOT FOUND   
Cost: 377  |  Time: 0.39933252334594727   
Cost: 416  |  Time: 0.36559534072875977   
Cost: 430  |  Time: 2.326369285583496   
Cost: 435  |  Time: 0.47429871559143066   
Cost: 355  |  Time: 0.29346680641174316   
Cost: 527  |  Time: 0.8870589733123779   
Cost: 511  |  Time: 2.5658645629882812   
Cost: 460  |  Time: 0.607940673828125   
Cost: 434  |  Time: 1.159867286682129   
Cost: 520  |  Time: 1.9852416515350342   
Cost: 526  |  Time: 1.1055991649627686   
Cost: 531  |  Time: 0.9143400192260742   
Cost: 430  |  Time: 0.37932634353637695   
Cost: 491  |  Time: 0.788438081741333   
Cost: 414  |  Time: 0.7720696926116943   
Cost: 418  |  Time: 0.5028173923492432   
Cost: 412  |  Time: 0.5310113430023193   
Cost: 414  |  Time: 0.6399056911468506   
Cost: 468  |  Time: 1.677870273590088   
