Cost: 1208  |  Time: 2.0846824645996094   
Cost: 995  |  Time: 1.0301439762115479   
Cost: 1175  |  Time: 2.2048749923706055   
Cost: 1066  |  Time: 3.0379180908203125   
Cost: 1195  |  Time: 2.215139150619507   
Cost: 1064  |  Time: 1.294541597366333   
Cost: 1209  |  Time: 1.956984043121338   
Cost: 1219  |  Time: 1.5266244411468506   
Cost: 1133  |  Time: 1.8738911151885986   
Cost: 1184  |  Time: 2.6220457553863525   
Cost: 1217  |  Time: 2.3002665042877197   
Cost: 1214  |  Time: 3.6089975833892822   
Cost: 1214  |  Time: 1.9343812465667725   
Cost: 1129  |  Time: 1.3954505920410156   
Cost: 1129  |  Time: 2.33182692527771   
Cost: 1154  |  Time: 1.282808542251587   
Cost: 999  |  Time: 1.4420747756958008   
Cost: 1075  |  Time: 1.7688965797424316   
Cost: 1089  |  Time: 1.5303254127502441   
Cost: 1161  |  Time: 5.582683801651001   
