Collision with: 15  |  Collision without: 15 
Collision with: 15  |  Collision without: 15 
Collision with: 15  |  Collision without: 15 
Collision with: 15  |  Collision without: 15 
Collision with: 15  |  Collision without: 15 
Collision with: 15  |  Collision without: 15 
Collision with: 9  |  Collision without: 9 
Collision with: 9  |  Collision without: 9 
Collision with: 1  |  Collision without: 0 
Collision with: 15  |  Collision without: 15 
Collision with: 2  |  Collision without: 2 
Collision with: 2  |  Collision without: 2 
Collision with: 2  |  Collision without: 2 
Collision with: 2  |  Collision without: 15 
Collision with: 2  |  Collision without: 15 
Collision with: 2  |  Collision without: 2 
Collision with: 2  |  Collision without: 15 
Collision with: 15  |  Collision without: 15 
Collision with: 2  |  Collision without: 15 
Collision with: 23  |  Collision without: 15 
Collision with: 23  |  Collision without: 15 
Collision with: 15  |  Collision without: 15 
Collision with: 15  |  Collision without: 15 
Collision with: 15  |  Collision without: 17 
Collision with: 15  |  Collision without: 17 
Collision with: 15  |  Collision without: 12 
Collision with: 6  |  Collision without: 7 
Collision with: 6  |  Collision without: 7 
