Collision with: 4  |  Collision without: 7 
Collision with: 3  |  Collision without: 9 
Collision with: 6  |  Collision without: 7 
Collision with: 6  |  Collision without: 14 
Collision with: 6  |  Collision without: 7 
Collision with: 4  |  Collision without: 7 
Collision with: 7  |  Collision without: 14 
Collision with: 9  |  Collision without: 8 
Collision with: 6  |  Collision without: 8 
Collision with: 6  |  Collision without: 10 
Collision with: 4  |  Collision without: 8 
Collision with: 10  |  Collision without: 11 
Collision with: 13  |  Collision without: 8 
Collision with: 4  |  Collision without: 16 
Collision with: 9  |  Collision without: 5 
Collision with: 11  |  Collision without: 13 
Collision with: 3  |  Collision without: 6 
Collision with: 9  |  Collision without: 16 
Collision with: 2  |  Collision without: 10 
Collision with: 14  |  Collision without: 12 
