NOT FOUND 
time: 1.916003942489624  cost:378 
time: 2.095564603805542  cost:418 
time: 7.047879695892334  cost:430 
time: 0.8897018432617188  cost:435 
time: 1.1747808456420898  cost:357 
time: 4.02466893196106  cost:531 
time: 5.872498512268066  cost:513 
time: 2.1938436031341553  cost:462 
time: 4.637565851211548  cost:433 
time: 7.536985397338867  cost:522 
time: 13.901618480682373  cost:528 
time: 5.023519277572632  cost:534 
time: 0.6175079345703125  cost:430 
time: 0.9404220581054688  cost:491 
time: 0.8748986721038818  cost:417 
time: 0.45951128005981445  cost:419 
time: 5.33405327796936  cost:417 
time: 2.6930878162384033  cost:424 
time: 1.2126131057739258  cost:470 
