Collision with: 7  |  Collision without: 9 
Collision with: 8  |  Collision without: 6 
Collision with: 6  |  Collision without: 12 
Collision with: 13  |  Collision without: 13 
Collision with: 14  |  Collision without: 7 
Collision with: 8  |  Collision without: 11 
Collision with: 16  |  Collision without: 15 
Collision with: 17  |  Collision without: 19 
Collision with: 14  |  Collision without: 12 
Collision with: 7  |  Collision without: 7 
Collision with: 10  |  Collision without: 19 
Collision with: 18  |  Collision without: 22 
Collision with: 19  |  Collision without: 19 
Collision with: 15  |  Collision without: 7 
Collision with: 28  |  Collision without: 24 
Collision with: 11  |  Collision without: 16 
Collision with: 12  |  Collision without: 16 
Collision with: 4  |  Collision without: 6 
Collision with: 13  |  Collision without: 9 
Collision with: 7  |  Collision without: 6 
