Collision with: 14  |  Collision without: 12 
Collision with: 7  |  Collision without: 17 
Collision with: 20  |  Collision without: 13 
Collision with: 15  |  Collision without: 15 
Collision with: 14  |  Collision without: 12 
Collision with: 12  |  Collision without: 16 
Collision with: 28  |  Collision without: 29 
Collision with: 23  |  Collision without: 29 
Collision with: 15  |  Collision without: 7 
Collision with: 18  |  Collision without: 20 
Collision with: 15  |  Collision without: 19 
Collision with: 31  |  Collision without: 26 
Collision with: 11  |  Collision without: 22 
Collision with: 12  |  Collision without: 19 


Collision with: 12  |  Collision without: 17 
Collision with: 20  |  Collision without: 13 
Collision with: 19  |  Collision without: 13 
Collision with: 12  |  Collision without: 12 
Collision with: 12  |  Collision without: 16 
Collision with: 32  |  Collision without: 29 
Collision with: 24  |  Collision without: 29 
Collision with: 10  |  Collision without: 7 
Collision with: 20  |  Collision without: 20 
Collision with: 11  |  Collision without: 19 
Collision with: 31  |  Collision without: 26 
Collision with: 11  |  Collision without: 22 
Collision with: 14  |  Collision without: 19 
Collision with: 19  |  Collision without: 21 


Collision with: 11  |  Collision without: 12 
Collision with: 11  |  Collision without: 17 
Collision with: 13  |  Collision without: 13 
Collision with: 21  |  Collision without: 13 
Collision with: 9  |  Collision without: 12 
Collision with: 16  |  Collision without: 16 
Collision with: 29  |  Collision without: 29 
Collision with: 26  |  Collision without: 31 

Collision with: 14  |  Collision without: 12 
Collision with: 13  |  Collision without: 17 
Collision with: 9  |  Collision without: 9 
Collision with: 19  |  Collision without: 13 
Collision with: 9  |  Collision without: 12 
Collision with: 7  |  Collision without: 16 
Collision with: 28  |  Collision without: 29 
Collision with: 31  |  Collision without: 31 

Collision with: 12  |  Collision without: 12 
Collision with: 14  |  Collision without: 17 

Collision with: 13  |  Collision without: 12 
Collision with: 10  |  Collision without: 17 

8 / 10
Collision with: 14  |  Collision without: 12 
Collision with: 11  |  Collision without: 17 
Collision with: 13  |  Collision without: 9 
Collision with: 23  |  Collision without: 15 
Collision with: 12  |  Collision without: 12 
Collision with: 8  |  Collision without: 16 
Collision with: 29  |  Collision without: 29 
Collision with: 28  |  Collision without: 31 
Collision with: 9  |  Collision without: 7 
Collision with: 24  |  Collision without: 20 
Collision with: 10  |  Collision without: 16 
Collision with: 28  |  Collision without: 26 
Collision with: 11  |  Collision without: 21 
Collision with: 14  |  Collision without: 19 
Collision with: 25  |  Collision without: 21 
Collision with: 12  |  Collision without: 17 
Collision with: 13  |  Collision without: 19 
Collision with: 17  |  Collision without: 14 
Collision with: 19  |  Collision without: 14 
Collision with: 10  |  Collision without: 9 
330 | 344

Collision with: 12  |  Collision without: 12 
Collision with: 17  |  Collision without: 17 
Collision with: 8  |  Collision without: 13 

Collision with: 15  |  Collision without: 12 
Collision with: 9  |  Collision without: 17 
Collision with: 15  |  Collision without: 13 
Collision with: 14  |  Collision without: 15 
Collision with: 16  |  Collision without: 12 
Collision with: 6  |  Collision without: 16 
Collision with: 30  |  Collision without: 29 
Collision with: 29  |  Collision without: 29 
Collision with: 8  |  Collision without: 7 
Collision with: 17  |  Collision without: 20 
Collision with: 16  |  Collision without: 16 
Collision with: 26  |  Collision without: 26 
Collision with: 11  |  Collision without: 22 
Collision with: 17  |  Collision without: 19 

change score_func
Collision with: 6  |  Collision without: 12 
Collision with: 9  |  Collision without: 17 
Collision with: 15  |  Collision without: 13 
Collision with: 18  |  Collision without: 13 
Collision with: 16  |  Collision without: 12 
Collision with: 11  |  Collision without: 16 
Collision with: 29  |  Collision without: 29 
Collision with: 27  |  Collision without: 29 
Collision with: 8  |  Collision without: 10 
Collision with: 17  |  Collision without: 18 
Collision with: 15  |  Collision without: 16 
Collision with: 22  |  Collision without: 26 
Collision with: 10  |  Collision without: 22 
Collision with: 16  |  Collision without: 19 
Collision with: 21  |  Collision without: 22 
Collision with: 7  |  Collision without: 17 
Collision with: 11  |  Collision without: 18 
Collision with: 18  |  Collision without: 15 
Collision with: 15  |  Collision without: 15 
Collision with: 9  |  Collision without: 10 
14
300 | 349

alpha2 = 1
Collision with: 9  |  Collision without: 15 
Collision with: 10  |  Collision without: 21 
Collision with: 20  |  Collision without: 18 
Collision with: 23  |  Collision without: 16 
Collision with: 20  |  Collision without: 14 
Collision with: 15  |  Collision without: 22 
Collision with: 33  |  Collision without: 33 
Collision with: 30  |  Collision without: 33 
Collision with: 9  |  Collision without: 11 
Collision with: 19  |  Collision without: 21 
Collision with: 17  |  Collision without: 19 
Collision with: 25  |  Collision without: 30 
Collision with: 17  |  Collision without: 26 
Collision with: 20  |  Collision without: 23 
Collision with: 26  |  Collision without: 26 
Collision with: 11  |  Collision without: 21 
Collision with: 18  |  Collision without: 23 
Collision with: 20  |  Collision without: 17 
Collision with: 16  |  Collision without: 17 
Collision with: 12  |  Collision without: 15 
14 
370 | 421
Collision with: 17  |  Collision without: 15 
Collision with: 25  |  Collision without: 21 
Collision with: 19  |  Collision without: 14 
Collision with: 16  |  Collision without: 16 
Collision with: 14  |  Collision without: 15 
Collision with: 20  |  Collision without: 22 
Collision with: 31  |  Collision without: 33 
Collision with: 37  |  Collision without: 33 
Collision with: 14  |  Collision without: 8 
Collision with: 25  |  Collision without: 21 
Collision with: 21  |  Collision without: 22 
Collision with: 19  |  Collision without: 28 
Collision with: 28  |  Collision without: 26 
Collision with: 20  |  Collision without: 23 
Collision with: 28  |  Collision without: 26 
Collision with: 20  |  Collision without: 20 
Collision with: 23  |  Collision without: 24 
Collision with: 19  |  Collision without: 15 
Collision with: 22  |  Collision without: 17 
Collision with: 18  |  Collision without: 15 

Collision with: 19  |  Collision without: 15 
Collision with: 12  |  Collision without: 15 
Collision with: 10  |  Collision without: 21 
Collision with: 13  |  Collision without: 18 
Collision with: 20  |  Collision without: 17 
Collision with: 14  |  Collision without: 15 
Collision with: 15  |  Collision without: 22 
Collision with: 30  |  Collision without: 29 
Collision with: 30  |  Collision without: 33 
Collision with: 14  |  Collision without: 8 
Collision with: 29  |  Collision without: 21 
Collision with: 18  |  Collision without: 19 
Collision with: 27  |  Collision without: 28 
Collision with: 17  |  Collision without: 25 
Collision with: 18  |  Collision without: 22 
Collision with: 25  |  Collision without: 26 
Collision with: 14  |  Collision without: 21 
Collision with: 18  |  Collision without: 24 
