time: 0.7630400657653809  cost:670 
time: 1.4061503410339355  cost:569 
time: 4.690861940383911  cost:686 
time: 1.5714054107666016  cost:661 
time: 1.6717338562011719  cost:647 
time: 0.8976550102233887  cost:577 
time: 10.889228820800781  cost:734 
time: 1.2337923049926758  cost:717 
time: 2.999711036682129  cost:666 
time: 1.873903512954712  cost:688 
time: 8.00929570198059  cost:762 
time: 2.644634962081909  cost:736 
time: 3.2885243892669678  cost:752 
time: 2.19350004196167  cost:666 
time: 1.470472812652588  cost:698 
time: 1.988232135772705  cost:640 
time: 1.036109447479248  cost:570 
time: 2.3719441890716553  cost:595 
time: 1.5220725536346436  cost:561 
time: 3.94234299659729  cost:687   
