time: 1.9546513557434082  cost:237 
time: 1.7990269660949707  cost:174 
NOT FOUND
time: 1.6876041889190674  cost:209 
time: 4.1937031745910645  cost:225 
time: 1.240480661392212  cost:166 
NOT FOUND
time: 0.9071736335754395  cost:238 
time: 0.40201282501220703  cost:240 
time: 1.5184416770935059  cost:212 
time: 16.569534063339233  cost:276 
time: 9.14731740951538  cost:240 
time: 1.7714979648590088  cost:270 
time: 0.6190249919891357  cost:187 
time: 5.526412487030029  cost:229 
time: 0.10454463958740234  cost:170 
time: 0.3626406192779541  cost:172 
time: 7.49385666847229  cost:190 
time: 1.1622779369354248  cost:199 
time: 1.6983873844146729  cost:211 
