Collision with: 9  |  Collision without: 22 
Collision with: 4  |  Collision without: 19 
Collision with: 5  |  Collision without: 23 
Collision with: 4  |  Collision without: 20 
Collision with: 10  |  Collision without: 22 
Collision with: 6  |  Collision without: 29 
Collision with: 9  |  Collision without: 33 
Collision with: 13  |  Collision without: 28 
Collision with: 8  |  Collision without: 19 
Collision with: 8  |  Collision without: 16 
Collision with: 4  |  Collision without: 18 
Collision with: 9  |  Collision without: 21 
Collision with: 9  |  Collision without: 20 
Collision with: 9  |  Collision without: 12 
Collision with: 9  |  Collision without: 25 
Collision with: 9  |  Collision without: 22 
Collision with: 12  |  Collision without: 24 
Collision with: 8  |  Collision without: 22 
Collision with: 11  |  Collision without: 22 
Collision with: 8  |  Collision without: 28 
