Collision with: 10  |  Collision without: 9 
Collision with: 6  |  Collision without: 11 
Collision with: 12  |  Collision without: 14 
Collision with: 9  |  Collision without: 19 
Collision with: 10  |  Collision without: 7 
Collision with: 3  |  Collision without: 10 
Collision with: 8  |  Collision without: 18 
Collision with: 12  |  Collision without: 10 
Collision with: 10  |  Collision without: 9 
Collision with: 9  |  Collision without: 16 
Collision with: 17  |  Collision without: 14 
Collision with: 14  |  Collision without: 12 
Collision with: 17  |  Collision without: 21 
Collision with: 12  |  Collision without: 7 
Collision with: 13  |  Collision without: 20 
Collision with: 9  |  Collision without: 9 
Collision with: 9  |  Collision without: 18 
Collision with: 12  |  Collision without: 20 
Collision with: 16  |  Collision without: 19 
