Collision with: 40  |  Collision without: 32 
Collision with: 32  |  Collision without: 31 
Collision with: 43  |  Collision without: 39 
Collision with: 31  |  Collision without: 21 
Collision with: 20  |  Collision without: 29 
Collision with: 54  |  Collision without: 53 
Collision with: 46  |  Collision without: 46 
Collision with: 26  |  Collision without: 21 


Collision with: 33  |  Collision without: 39 
Collision with: 36  |  Collision without: 39 
Collision with: 39  |  Collision without: 44 
Collision with: 29  |  Collision without: 26 
Collision with: 40  |  Collision without: 35 
Collision with: 54  |  Collision without: 60 
Collision with: 52  |  Collision without: 54 
Collision with: 21  |  Collision without: 28 
