Collision with: 9  |  Collision without: 11 
Collision with: 7  |  Collision without: 10 
Collision with: 13  |  Collision without: 15 
Collision with: 15  |  Collision without: 16 
Collision with: 17  |  Collision without: 6 
Collision with: 11  |  Collision without: 12 
Collision with: 12  |  Collision without: 10 
Collision with: 12  |  Collision without: 13 
Collision with: 10  |  Collision without: 10 
Collision with: 13  |  Collision without: 13 
Collision with: 30  |  Collision without: 30 
Collision with: 19  |  Collision without: 17 
Collision with: 14  |  Collision without: 18 
Collision with: 15  |  Collision without: 15 
Collision with: 16  |  Collision without: 14 
Collision with: 13  |  Collision without: 12 
Collision with: 13  |  Collision without: 11 
Collision with: 14  |  Collision without: 14 
Collision with: 23  |  Collision without: 26 
