time: 198.25889897346497  cost:2196 
time: 159.5756049156189  cost:1914 
time: 248.98758840560913  cost:2114 
time: 158.83499217033386  cost:1982 
time: 170.32083916664124  cost:2019 
time: 220.27761387825012  cost:2016 
time: 279.56022000312805  cost:2112 
time: 157.4623885154724  cost:2114 
time: 171.5756196975708  cost:1947 
time: 181.1226930618286  cost:2140 
time: 224.30092239379883  cost:2035 
time: 221.22994232177734  cost:2183 
time: 212.23510479927063  cost:2012 
NOT FOUND 
time: 97.30162906646729  cost:2053 
time: 124.32398247718811  cost:1946 
time: 106.91355752944946  cost:1851 
time: 98.8831148147583  cost:1866 
time: 187.2212827205658  cost:1962 
time: 173.73791980743408  cost:2112 
