Collision with: 3  |  Collision without: 4 
Collision with: 6  |  Collision without: 9 
Collision with: 4  |  Collision without: 6 
Collision with: 9  |  Collision without: 19 
Collision with: 10  |  Collision without: 13 
Collision with: 8  |  Collision without: 15 
Collision with: 9  |  Collision without: 20 
Collision with: 9  |  Collision without: 9 
Collision with: 4  |  Collision without: 3 
Collision with: 4  |  Collision without: 9 
Collision with: 2  |  Collision without: 9 
Collision with: 5  |  Collision without: 9 
